CODGEO;LIBGEO;REG;DEP;E14A17;DE14A17;C114A17;C214A17;C314A17;C414A17;C514A17;FZ14A17;GZ14A17;HZ14A17;IZ14A17;JZ14A17;KZ14A17;LZ14A17;MN14A17;OQ14A17;RU14A17;;
01122;Cormaranche-en-Bugey;82;01;38;0;0;0;0;0;4;11;5;1;4;1;0;0;4;4;4;;
01123;Cormoranche-sur-Saône;82;01;42;1;1;0;0;0;1;9;5;0;5;0;1;1;9;5;4;;
01124;Cormoz;82;01;28;0;1;0;0;0;4;2;3;3;3;0;0;0;6;2;4;;
01125;Corveissiat;82;01;26;3;0;0;0;0;5;5;0;2;1;0;1;1;3;3;2;;
01127;Courmangoux;82;01;24;1;1;0;0;0;2;8;2;0;2;1;0;1;3;0;3;;
01128;Courtes;82;01;15;0;0;0;0;0;1;1;4;1;0;0;1;0;5;0;2;;
01129;Crans;82;01;7;1;0;0;0;0;0;2;1;0;1;1;0;1;0;0;0;;
01130;Cras-sur-Reyssouze;82;01;47;0;2;0;0;0;5;12;7;1;2;2;1;2;5;4;4;;
01133;Cressin-Rochefort;82;01;10;0;0;0;0;0;0;5;1;0;2;0;0;2;0;0;0;;
01134;Crottet;82;01;100;3;2;0;0;0;9;20;22;3;3;2;4;6;6;7;13;;
01135;Crozet;82;01;99;2;0;0;0;0;4;27;17;1;13;0;1;1;14;11;8;;
01136;Cruzilles-lès-Mépillat;82;01;22;0;0;0;0;0;1;8;4;1;1;1;1;0;3;1;1;;
01138;Culoz;82;01;176;6;3;0;3;0;8;29;28;5;9;1;5;10;24;29;16;;
01139;Curciat-Dongalon;82;01;19;0;2;0;0;0;2;7;1;0;0;0;0;2;3;0;2;;
01140;Curtafond;82;01;27;0;1;0;0;0;5;6;7;0;3;0;0;1;2;2;0;;
01141;Cuzieu;82;01;9;0;0;0;0;0;0;2;0;1;0;0;0;0;2;2;2;;
01142;Dagneux;82;01;272;4;1;0;2;1;23;32;67;10;12;9;13;5;48;25;20;;
01143;Divonne-les-Bains;82;01;534;2;4;0;3;0;8;46;107;11;54;16;23;55;62;94;49;;
01144;Dommartin;82;01;19;0;1;0;0;0;1;5;4;0;3;0;1;0;1;0;3;;
01145;Dompierre-sur-Veyle;82;01;58;0;0;0;0;0;1;15;13;1;6;1;1;1;10;4;5;;
01146;Dompierre-sur-Chalaronne;82;01;24;0;0;0;0;0;2;8;5;0;0;1;0;0;6;1;1;;
01147;Domsure;82;01;23;0;1;0;1;0;1;4;7;0;3;2;0;0;1;1;2;;
01148;Dortan;82;01;93;3;3;0;0;0;18;12;20;2;6;0;6;1;10;8;4;;
01149;Douvres;82;01;24;0;0;0;0;0;1;7;5;0;1;0;0;0;5;1;4;;
01150;Drom;82;01;6;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;2;;
01151;Druillat;82;01;57;1;3;0;0;0;2;13;11;1;2;1;1;5;9;3;5;;
01152;Échallon;82;01;29;0;0;0;1;0;3;3;5;1;3;1;1;0;6;0;5;;
01153;Échenevex;82;01;52;0;0;0;0;0;2;4;9;1;5;2;1;3;14;9;2;;
01154;Étrez;82;01;29;2;2;0;0;0;1;5;7;3;2;0;1;0;2;1;3;;
01155;Évosges;82;01;11;0;0;0;0;0;1;2;1;0;3;0;0;1;1;0;2;;
01156;Faramans;82;01;21;1;0;0;0;0;1;3;7;2;1;0;0;0;2;1;3;;
